07-26 17:56:34.329    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onDetach: Line 242)
07-26 17:56:34.329    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onDetach: Line 245)
07-26 17:56:46.289    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(AddBookActivity﹕ onAddSave: Line 69)
07-26 17:56:46.319    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(AddBookActivity﹕ onAddSave: Line 81)
07-26 17:56:46.359    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onCreate: Line 54)
07-26 17:56:46.359    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ setStrictMode: Line 233)
07-26 17:56:46.359    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ setStrictMode: Line 248)
07-26 17:56:46.359    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ ContentFragment: Line 81)
07-26 17:56:46.369    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ ContentFragment: Line 82)
07-26 17:56:46.369    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(ContentFragment﹕ onAttach: Line 116)
07-26 17:56:46.369    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onSectionAttached: Line 101)
07-26 17:56:46.379    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(MainActivity﹕ onSectionAttached: Line 113)
07-26 17:56:46.379    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(ContentFragment﹕ onAttach: Line 120)
07-26 17:56:46.479    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onAttach: Line 230)
07-26 17:56:46.479    5108-5108/com.jessicaxu.ReadJiffy.app I/Leave----->(NavigationDrawerFragment﹕ onAttach: Line 237)
07-26 17:56:46.479    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ onCreate: Line 75)
07-26 17:56:46.489    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(NavigationDrawerFragment﹕ selectItem: Line 214)
07-26 17:56:46.489    5108-5108/com.jessicaxu.ReadJiffy.app I/Enter----->(MainActivity﹕ onNavigationDrawerItemSelected: Line 89)
